,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BCR,BAX,BBT,BDX
MMM,1.0,0.9471227563619125,0.9175895640746892,0.9667340283178966,0.9268253716083936,0.9620769160676275,0.9319137701736508,-0.5176731477523794,0.9671548925693411,-0.2815981499814757,0.955509675133701,0.8786578672066969,0.9090118440550384,0.6019009174183908,0.9696003469472482,0.27815079322008296,0.9461242328383133,0.8563783487820497,0.8102278754762843,0.910873755111798,0.9718784022499122,0.8584575002252687,0.9231207696444017,0.9360175430406306,0.9694600595809392,0.8750889671112154,0.9537636573246626,0.9529350774440386,0.9732695704624711,0.9364868174362787,0.869955204474426,0.5528204735235612,0.9606614148826311,0.8512241776832479,-0.6423276350325158,0.9122202597729416,0.9608125802047299,0.9379573983965313,0.9594013626510337,0.937784692692269,0.9231097212958289,0.9736428297761975,0.6798262946011643,0.7048116569726252,0.9138051244729902,0.9112570283142998,0.9233516227181142,0.9638576624727445,0.9684701280054164,0.29002247053872376,0.8978611616705868,0.9335921963141094,0.2540883625215164,0.8559443799711757,-0.5358555561652886,0.956522748921439,0.8632222633256842,0.8466092498560115,0.8476556399519223,0.9568188009299258,0.9673865602551898,0.9242289954977716,0.6928876958121422,0.3241739461921271,0.9796753149383306,-0.2980453292362479,0.4804956204053094,0.9617842119743653,0.8745378462092691,0.8537934715770183,0.9682043279088928
ABT,0.9471227563619125,1.0,0.8706080710765935,0.9537401594085657,0.8906520097170855,0.9031476588377192,0.888535315736724,-0.5849514024913532,0.9561289277309687,-0.2242015970558522,0.9206697506014686,0.9144385415834086,0.876123250622782,0.5949481597551873,0.9535805317377664,0.288331823528653,0.9156600040708459,0.8528027844679141,0.7716863626047369,0.9597191888036974,0.916446704097957,0.43594452346234336,0.9276329461093552,0.9702525469769828,0.9481315812565932,0.8158994647119517,0.9237752197264238,0.9232445838651795,0.9490724086904743,0.8889464782776534,0.7916013284483642,0.4688319409545832,0.9539725334512202,0.8583349081001408,-0.7003997713981928,0.9333855918236552,0.8878024406214938,0.9358875422132182,0.9690658499324185,0.9685567306371722,0.9029285773308899,0.9693101318746244,0.7557585253243367,0.6793399664773896,0.910358811343989,0.9416856950457352,0.8875534856431005,0.963790989929097,0.91972883751109,0.3292344352180655,0.8536195130050713,0.9604527056427624,0.18567776769226318,0.8637141997382568,-0.5920118205488655,0.95390607578481,0.8111756152969759,0.8855095820950393,0.8023440684237364,0.9477802857217285,0.955643712874183,0.923575949329131,0.5461086955524008,0.31129642565433563,0.9630759009633939,-0.40343557457942975,0.4769134842251624,0.93200089370861,0.9248809186935595,0.8001545290650257,0.943101022239314
ABBV,0.9175895640746892,0.8706080710765935,1.0,0.782810348857471,0.7403703139439719,0.8312264824551671,0.8683431451339909,0.1886577146555832,0.8968128095986146,0.056811190890608404,0.9055078041443535,0.1597310276530213,0.7254714731902009,0.8068422730358146,0.9289721511287753,0.7098376429451524,0.8434223875390418,0.22813041892317718,0.8414192999036784,0.6305149436747147,0.7866533352090255,0.727451311798059,0.838971825138962,0.554290424153783,0.8020820189942428,0.9278951707740924,0.7437327878792667,0.7326342328416925,0.8306828266238832,0.6709302682690442,0.8050121438646801,0.8009362082828069,0.8374049230747811,0.09374477908381866,0.8839361511531407,0.8632438659453016,0.7555516093767057,0.713496369320152,0.8419109651922021,0.6462249514793665,0.9480566910437618,0.9032706688537635,-0.39783517793460454,0.8414588491171532,0.7602741006581106,0.6769691348565235,0.9085717493917636,0.9274329284872336,0.8106729630289335,-0.5695827981984498,0.8489110401769348,0.8910543114868501,0.7165117334915925,0.768558266423407,0.3105707198018159,0.804342901549251,0.8160741794558832,0.623242038394995,0.8019835418772462,0.9046524185387959,0.8576074596782618,0.8334794251374241,0.791427583473872,0.24686718907734076,0.9183682325857617,0.6241005521052275,0.9127228452389335,0.880196377673695,0.6441874268145339,0.7679777473781065,0.8919267391467685
ACN,0.9667340283178966,0.9537401594085657,0.782810348857471,1.0,0.9392256217536668,0.9590374707199089,0.9247704404067633,-0.5114049489110193,0.9635660874663182,0.04039204952258914,0.9326542341774404,0.8436671717733628,0.886363811264775,0.9250736284704223,0.9589718113661626,0.8146699544661997,0.9446283054774082,0.8923694460949789,0.7807513799716024,0.9243101296701973,0.962511021218348,0.9234988606853886,0.9112865585792495,0.9233248392955997,0.9832983944014911,0.784046570233029,0.9663504846010357,0.966029715226526,0.987557008496573,0.970802528446811,0.8035911925092629,0.4354884151731597,0.9701768252081199,0.8141725872865889,-0.6804357499690568,0.9708414192210059,0.9804196321459762,0.8767850930887916,0.9451269920003722,0.9507366785647425,0.9093875763367,0.9801857445812796,0.6722679654280279,0.9066697211925158,0.8982890467560992,0.9475080882546507,0.882797135010555,0.9734054203670267,0.9684951226285288,0.21906468333081625,0.8783608085802362,0.9559957440241797,0.573032867752859,0.8195030455629039,-0.6018819817153983,0.9548162612305595,0.8410568252947648,0.9368795809442647,0.8019355731744958,0.9769857361112815,0.9868921427026353,0.9475184726325884,0.6258437865475768,0.2145954458751014,0.9827381195600307,-0.49825280066884464,0.5960397070094294,0.9630884590363332,0.9196709887541994,0.7702281691246218,0.967147383301744
ATVI,0.9268253716083936,0.8906520097170855,0.7403703139439719,0.9392256217536668,1.0,0.9668802541851207,0.9394858041873215,-0.525572741370469,0.9084552568819882,-0.2567268695883038,0.9378605613265603,0.75985527893825,0.8848491878486587,0.5616964809333157,0.9389094665228405,0.2671120023508142,0.9046376460332587,0.8289010329852264,0.8276820272168244,0.814715857562076,0.9216509198334488,0.8950242744574811,0.8448138490188936,0.8207887327375294,0.9450687362212928,0.7931592295169504,0.9417293906798139,0.9386503788583629,0.958532473942435,0.9541334438731244,0.84094004602291,0.4108409646991144,0.9352958184282916,0.6902642166304478,-0.664352203239896,0.8861975098004465,0.9190498778734209,0.75436606340394,0.8822526594664305,0.8687315620188985,0.852160774863581,0.937594184868626,0.5977711996589865,0.625204165452955,0.881539418322555,0.8791229003815075,0.8628299465998192,0.9384951140611252,0.9468180965135925,0.3297136369958978,0.8531244466458144,0.8755984366788628,0.2313248886856697,0.8176700600879849,-0.5414209984022289,0.8603977888505964,0.8887021456543185,0.8451368308819384,0.8232176025904248,0.9045932233850213,0.9315248237674566,0.8911611263116127,0.665584705445536,0.3204209918759995,0.9292903694642926,-0.3151401140582588,0.502901692407524,0.9676045948635457,0.9011588152297201,0.7503789056305624,0.9709147220626853
AYI,0.9620769160676275,0.9031476588377192,0.8312264824551671,0.9590374707199089,0.9668802541851207,1.0,0.9634494331543693,-0.41899516425485356,0.9458448177219742,0.1085706042306052,0.9551786649398056,0.7642073493244534,0.8617080925747772,0.8793270007348767,0.9369813657451359,0.7712538494273505,0.9659089982942642,0.7837581201715176,0.7881192514473191,0.8550521632206428,0.9587847764028873,0.9439292488536182,0.9199532322918428,0.8626000922752012,0.958363990717723,0.8314554341642724,0.9560152565882873,0.9529411670388707,0.9748919594104029,0.9706144174148853,0.8607653977632703,0.5406431865007583,0.9517480476757516,0.7366328679522439,-0.5366964514639063,0.9081202226658849,0.9638915999629878,0.8416801697487029,0.9228954228407678,0.8670869524892943,0.9343137558582515,0.9423624245813638,0.49533782289610756,0.9050164678272193,0.9039672598909546,0.8507464101526696,0.9089124513905711,0.956091070306659,0.9844242278139663,0.046191515804857204,0.8926204430267396,0.8863800286957274,0.6832390014674358,0.7801009377667856,-0.4762769705135215,0.8992635363034179,0.8962315519799836,0.8837532674417978,0.7897166080172594,0.961196138098076,0.9561342902311369,0.8888679598632097,0.7615519920742322,0.18470193689082226,0.9466819202077542,-0.36060419128444565,0.702688541543141,0.9650862475140882,0.8575112945305604,0.7929610706852983,0.9675782503027462
ADBE,0.9319137701736508,0.888535315736724,0.8683431451339909,0.9247704404067633,0.9394858041873215,0.9634494331543693,1.0,-0.33618950755590354,0.919646880792803,-0.06267620914803958,0.9569942578238344,0.8142114757821922,0.8744396701563353,0.6752420046627701,0.9240125421258104,0.37140766851988904,0.9265067870106243,0.7681889196342736,0.8177600096556329,0.8306346978046969,0.9330640558978569,0.9272348048296692,0.8856713168615205,0.8659307977522259,0.9325069027375925,0.8845390734314058,0.9389780152797108,0.9358785410956408,0.9301443592014829,0.9144402196338921,0.8853374618182039,0.6434990876251893,0.9340941246990503,0.8010841690877798,-0.49913060118848784,0.8999556338978331,0.9363901387931847,0.865090623550156,0.8910261525130365,0.8504939414365542,0.9131564584211522,0.9295409775378533,0.5724630014234212,0.7544987689558922,0.9267198990677961,0.8265816067031948,0.9396263894129344,0.9401345488714846,0.9412968024170939,0.22463758706247045,0.9008207719141619,0.8509253896527775,0.4125850975893877,0.8193795816890018,-0.3999185592211906,0.861361387477719,0.9399809329962173,0.8594847319375196,0.8519570643383155,0.9315513246279595,0.8980944315934172,0.867422151726868,0.7717357071729488,0.39515861113364475,0.9057586006314547,-0.17484979389366212,0.6718414926356496,0.9361036926078969,0.8506301048845979,0.8239455137290841,0.9467386466357524
AMD,-0.5176731477523794,-0.5849514024913532,0.1886577146555832,-0.5114049489110193,-0.525572741370469,-0.41899516425485356,-0.33618950755590354,1.0,-0.47479200175775826,0.6108829182850297,-0.4337737119658187,-0.47006287528149515,-0.5133278545560775,0.0017964795485436965,-0.5653134205711058,0.08189753508016513,-0.42897149551833624,-0.5846464131655715,-0.3882800620504375,-0.5432908983935832,-0.4675003704652221,0.3247987590286709,-0.44425521930435063,-0.5153107613120859,-0.5013074335165497,-0.2787979114841684,-0.5031315730528261,-0.5059231799121162,-0.533283281437752,-0.48764155151405675,-0.3036636872666726,0.3023807972919554,-0.49690585246331836,-0.31549269165649346,0.7431368832416292,-0.4427538540792533,-0.29688237927572614,-0.3820610179819307,-0.5357563794450029,-0.6002451526517494,-0.34285586323754,-0.5509158427154878,-0.5171259656512519,-0.038654726173575404,-0.3961469915769449,-0.6246886479051332,-0.2551394532605002,-0.5085140551443892,-0.4661385385878833,-0.41923076541022053,-0.3201115697536301,-0.5762981457143324,0.39873237236410186,-0.4847959378796093,0.6207408554847561,-0.5430306560244526,-0.2965136058803586,-0.4298478700855251,-0.33971259919911184,-0.44437028221412533,-0.5701660858201307,-0.5122841693611613,-0.018107983543848488,-0.006783889580376662,-0.5789357121538635,0.471661895951884,0.1088231751708505,-0.5414585347747545,-0.5901463781560344,-0.31002690615741674,-0.5418125179554447
AAP,0.9671548925693411,0.9561289277309687,0.8968128095986146,0.9635660874663182,0.9084552568819882,0.9458448177219742,0.919646880792803,-0.47479200175775826,1.0,0.10001277654084144,0.9408511350039391,0.8541858862084775,0.8542200747409978,0.8999630261509768,0.9567653100826478,0.8271889177281463,0.9655452765054585,0.8170909742126461,0.7516353522627826,0.9493307812529348,0.9351433456156286,0.7048695705557825,0.9603102546234664,0.9467577657604782,0.9528633628200698,0.8008621362549534,0.9387049859004366,0.9361470322126842,0.9699795941068722,0.9272451508755996,0.7975189493600027,0.5121695049813236,0.9486758054455297,0.8336020417992607,-0.6424560541587215,0.9462633474421409,0.9256851739907637,0.9195123142901623,0.9719831066845825,0.9463572041930117,0.9376985998216285,0.9667405927153917,0.6520340782750532,0.9126153383347165,0.9038476935691936,0.914808966078909,0.9207225038815156,0.9641698299654881,0.9494779409024321,0.13740612415435607,0.8592059633247131,0.9572547648175684,0.583932629159512,0.8326551027747823,-0.5650923840894235,0.9418443659943281,0.829400816272114,0.8777990472111514,0.79912599654869,0.9727126917514035,0.9804974471814255,0.9264555747996387,0.6134515000953951,0.19448151347089063,0.9777556470737994,-0.4736704227762424,0.6175298335078052,0.9516876957277108,0.8608563161800223,0.7837323191047549,0.949319110325614
AES,-0.2815981499814757,-0.2242015970558522,0.056811190890608404,0.04039204952258914,-0.2567268695883038,0.1085706042306052,-0.06267620914803958,0.6108829182850297,0.10001277654084144,1.0,-0.23169155557683135,-0.20335554424570385,-0.257576089805068,0.34428562814436603,-0.26914485722325904,0.35953396225493367,-0.16068290692350412,-0.2776209835896407,-0.28464002648818293,-0.16978582466700018,-0.0627003412290654,-0.49118739667675054,-0.11683311413325187,0.04468569655423679,-0.19342406297314502,-0.16342347758822756,-0.15601628127331837,-0.15491155356942668,-0.24401751596992372,-0.2073275930704288,-0.226013820707069,0.4551199708722444,-0.16608776956816548,-0.05525164246260328,0.4774236697087793,-0.041159626574774885,0.2034354951172865,-0.03332315618877224,-0.23771314916042996,-0.2758026617155599,-0.08958637864789544,-0.22616742658935007,-0.20804682576981906,0.2768897887363544,-0.1609621615562586,-0.30487294623450883,0.32574265668867847,-0.16342692787113894,-0.21618476999589645,-0.2863676581335761,-0.12234386800558142,-0.2359996918469465,0.5249150369021726,-0.2607801608502804,0.3870298953135183,-0.26699049006831777,0.23836978133426195,0.057409676640284686,-0.2314554527029356,-0.09265681136674325,-0.28025857815185645,-0.26011618776439194,-0.04002493232144154,0.0047416573544083705,-0.3183990420048995,0.03490665519800281,0.4672906875574533,-0.2909336454298286,-0.18459541196137938,-0.2600787784504942,-0.26480296871138925
